,Player,Season,BA,SLG,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
0,"Stanton, Giancarlo",2017,0.281,0.631,11.2,31.6,122.2,92.0,100.0,86.8,468,183,418.0,199,45.6,17.0,76,17.4,11.0
1,"Alonso, Pete",2019,0.26,0.583,14.8,36.9,118.3,90.7,96.6,85.9,489,189,414.0,176,42.7,13.7,66,15.8,9.5
2,"Judge, Aaron",2017,0.284,0.627,15.8,38.2,121.1,95.0,100.5,88.6,496,216,413.0,185,54.7,15.1,87,25.7,12.8
3,"Suárez, Eugenio",2019,0.271,0.572,17.7,38.0,112.3,89.3,93.1,86.1,457,195,400.0,157,40.8,13.0,54,13.8,8.2
4,"Davis, Khris",2018,0.247,0.549,18.1,37.7,112.8,92.5,97.2,87.7,438,211,405.0,195,48.1,15.7,70,17.2,10.7
5,"Soler, Jorge",2019,0.265,0.569,15.5,34.5,115.7,92.6,97.2,88.8,465,199,414.0,207,50.1,17.1,70,16.9,10.3
6,"Bellinger, Cody",2019,0.305,0.629,17.9,39.6,110.6,91.1,95.0,86.4,442,207,405.0,207,45.9,17.3,58,12.7,8.8
7,"Martinez, J.D.",2017,0.303,0.69,15.4,37.7,114.8,91.0,97.1,84.4,461,210,412.0,151,49.3,15.4,60,19.5,12.3
8,"Trout, Mike",2019,0.291,0.645,22.2,43.8,116.6,90.9,95.1,84.2,486,234,419.0,155,44.4,16.8,67,18.9,11.2
9,"Yelich, Christian",2019,0.329,0.671,11.3,33.2,117.9,93.3,96.8,91.0,462,184,407.0,182,49.1,17.6,59,15.8,10.2
10,"Davis, Khris",2017,0.247,0.528,14.2,37.6,113.5,92.2,98.7,85.0,458,203,408.0,198,52.4,16.2,67,17.7,10.3
11,"Martinez, J.D.",2018,0.33,0.629,10.8,40.0,116.7,93.0,96.7,89.1,443,184,398.0,226,52.7,17.8,69,16.0,10.6
12,"Arenado, Nolan",2019,0.315,0.583,17.7,34.6,109.9,89.4,92.9,87.9,463,192,406.0,189,37.6,15.4,40,8.0,6.0
13,"Bregman, Alex",2019,0.296,0.592,19.6,35.5,107.4,89.3,92.3,88.0,440,202,382.0,178,38.0,17.4,23,4.8,3.3
14,"Cruz, Nelson",2019,0.311,0.639,13.1,38.3,117.0,93.7,99.2,89.0,478,197,411.0,168,51.5,17.2,65,19.9,12.5
15,"Gallo, Joey",2017,0.209,0.537,23.0,36.0,117.3,93.3,99.1,86.0,490,227,420.0,132,52.2,12.5,56,22.1,10.5
16,"Gallo, Joey",2018,0.206,0.498,21.9,37.5,117.5,94.3,99.9,86.3,495,225,410.0,145,49.5,12.7,66,22.5,11.4
17,"Bellinger, Cody",2017,0.267,0.581,17.5,35.3,112.8,90.8,96.6,84.7,447,199,404.0,153,45.7,15.5,41,12.2,7.5
18,"Cruz, Nelson",2017,0.288,0.549,12.4,34.5,117.7,93.2,98.6,88.4,469,198,411.0,204,48.3,17.5,60,14.2,9.3
19,"Ramírez, José",2018,0.27,0.552,19.0,34.3,110.2,89.0,92.4,86.9,434,196,388.0,173,35.1,14.9,42,8.3,6.0
20,"Springer, George",2019,0.292,0.591,10.5,31.6,114.3,89.8,95.4,85.7,474,176,408.0,160,44.8,15.8,52,14.1,9.4
21,"Trout, Mike",2018,0.312,0.628,18.6,41.0,118.0,91.2,95.9,85.2,459,212,407.0,162,46.2,16.9,58,16.5,9.5
22,"Arenado, Nolan",2018,0.297,0.561,15.3,35.4,109.2,89.8,94.4,86.1,464,184,408.0,192,40.5,14.9,34,7.2,5.1
23,"Encarnación, Edwin",2017,0.258,0.504,16.8,36.4,112.0,89.2,94.2,84.1,466,195,405.0,181,42.5,14.7,44,10.3,6.6
24,"Freeman, Freddie",2019,0.295,0.549,14.4,40.0,112.0,89.7,93.8,85.1,446,192,404.0,200,42.5,14.0,58,12.3,8.4
25,"Lindor, Francisco",2018,0.277,0.519,14.7,34.3,114.5,90.6,94.3,88.3,445,189,400.0,227,41.0,16.5,52,9.3,7.0
26,"Morrison, Logan",2017,0.246,0.516,17.6,39.6,114.4,88.6,94.2,82.0,444,206,405.0,155,42.3,14.3,47,12.8,7.8
27,"Moustakas, Mike",2017,0.272,0.521,18.2,34.0,112.9,87.4,92.3,85.0,440,197,397.0,157,33.8,12.6,40,8.6,6.7
28,"Schwarber, Kyle",2019,0.25,0.531,15.5,35.4,117.6,93.5,97.9,90.0,473,197,406.0,193,51.2,17.5,55,14.5,9.0
29,"Smoak, Justin",2017,0.27,0.529,17.1,39.4,110.0,89.6,94.6,83.3,437,204,401.0,186,43.0,16.7,59,13.6,9.3
30,"Stanton, Giancarlo",2018,0.266,0.509,11.7,30.0,121.7,93.7,99.7,91.5,458,175,405.0,211,50.8,16.0,63,15.1,8.9
31,"Torres, Gleyber",2019,0.278,0.535,17.7,38.0,109.6,89.1,92.8,86.3,438,192,397.0,153,36.5,12.3,43,10.1,7.1
32,"Arenado, Nolan",2017,0.309,0.586,17.6,37.5,109.9,88.8,93.0,84.4,456,207,409.0,192,37.9,15.2,43,8.5,6.3
33,"Bell, Josh",2019,0.277,0.569,13.1,34.6,116.2,92.4,96.1,89.9,474,186,411.0,193,47.2,16.4,53,12.7,8.6
34,"Blackmon, Charlie",2017,0.331,0.601,13.4,38.1,110.8,87.3,91.7,83.1,477,190,411.0,187,36.4,14.0,45,8.7,6.2
35,"Cruz, Nelson",2018,0.256,0.509,12.8,31.3,117.0,93.9,97.2,92.7,465,180,411.0,207,51.7,19.5,55,13.8,9.3
36,"Donaldson, Josh",2019,0.259,0.521,13.3,33.3,114.2,92.9,98.1,89.0,443,185,406.0,200,50.5,16.6,62,15.7,9.4
37,"Machado, Manny",2018,0.297,0.538,14.4,33.8,114.8,91.6,95.1,90.1,444,184,403.0,257,48.2,20.8,60,11.3,8.5
38,"Ozuna, Marcell",2017,0.312,0.548,10.2,31.0,114.5,90.9,96.8,86.7,468,167,413.0,214,45.6,16.9,44,9.3,6.5
39,"Reyes, Franmil",2019,0.249,0.512,9.5,33.3,115.0,93.3,98.2,88.6,457,181,408.0,176,51.0,16.1,51,14.8,9.3
40,"Story, Trevor",2018,0.291,0.567,15.9,38.2,112.5,91.0,95.0,87.4,487,201,421.0,200,46.2,15.6,55,12.7,8.4
41,"Bruce, Jay",2017,0.254,0.508,18.4,39.4,111.5,88.4,92.4,83.6,436,206,400.0,162,38.8,13.4,44,10.5,7.1
42,"Carpenter, Matt",2018,0.257,0.523,21.6,44.1,109.4,90.7,94.4,84.3,432,231,389.0,183,44.7,17.1,56,13.7,8.3
43,"Chapman, Matt",2019,0.249,0.506,16.6,25.1,114.4,92.7,97.1,91.0,453,185,408.0,211,49.0,17.9,53,12.1,7.9
44,"Goldschmidt, Paul",2017,0.297,0.563,11.6,32.8,112.4,91.5,96.6,86.8,453,178,405.0,197,47.5,17.4,55,13.3,8.3
45,"Kepler, Max",2019,0.252,0.519,18.2,30.5,112.5,89.7,92.9,88.8,438,195,392.0,179,42.1,16.8,38,8.9,6.4
46,"Martinez, J.D.",2019,0.304,0.557,12.5,40.7,112.6,91.3,95.1,87.5,434,191,402.0,208,47.9,17.1,52,11.8,7.9
47,"Olson, Matt",2019,0.267,0.545,19.4,36.1,111.9,92.7,97.2,89.0,450,202,400.0,171,50.4,16.5,50,14.5,9.1
48,"Pederson, Joc",2019,0.249,0.538,15.6,31.4,113.7,91.2,96.1,88.0,454,179,399.0,146,43.5,15.4,35,10.3,6.8
49,"Votto, Joey",2017,0.32,0.578,14.1,40.5,110.9,87.5,92.6,80.4,449,197,398.0,158,32.8,13.8,44,9.1,6.2
50,"Yelich, Christian",2018,0.326,0.598,5.0,36.7,113.6,92.6,97.2,89.6,441,160,407.0,224,50.8,20.0,57,12.9,8.8
51,"Zimmerman, Ryan",2017,0.303,0.573,8.3,32.3,113.1,91.4,97.8,86.3,462,173,405.0,195,49.1,19.8,49,12.2,8.5
52,"Aguilar, Jesús",2018,0.274,0.539,16.2,38.2,110.0,89.8,93.8,85.1,433,198,396.0,154,42.9,13.9,41,11.4,7.2
53,"Escobar, Eduardo",2019,0.269,0.511,18.4,38.6,106.9,87.8,91.1,83.8,433,212,393.0,162,31.4,11.4,36,7.0,5.2
54,"Harper, Bryce",2019,0.26,0.51,13.7,37.6,116.4,91.9,96.8,86.5,466,196,411.0,182,45.6,13.4,59,14.8,8.7
55,"Mancini, Trey",2019,0.291,0.535,7.8,36.4,113.9,90.3,95.8,85.7,438,172,404.0,198,42.7,15.1,48,10.3,7.1
56,"Moustakas, Mike",2019,0.254,0.516,17.4,32.3,112.9,89.5,93.8,87.0,459,193,402.0,173,40.8,15.5,44,10.3,7.5
57,"Muncy, Max",2018,0.263,0.582,18.3,36.8,110.6,90.3,95.0,85.0,445,206,399.0,121,46.4,15.8,45,16.9,9.4
58,"Muncy, Max",2019,0.251,0.515,14.5,38.9,110.1,89.8,94.4,84.7,464,195,404.0,147,43.4,14.2,41,12.0,7.0
59,"Story, Trevor",2019,0.294,0.554,17.5,36.5,111.8,91.0,93.8,90.3,459,197,414.0,192,46.0,14.9,36,8.6,5.5
60,"Upton, Justin",2017,0.273,0.54,15.7,36.0,114.2,88.8,94.3,84.3,454,199,405.0,156,41.3,13.0,50,13.2,7.9
61,"Báez, Javier",2018,0.29,0.554,9.6,32.9,113.7,90.6,96.8,86.6,481,174,404.0,191,43.3,14.7,56,12.6,8.7
62,"Dozier, Brian",2017,0.271,0.498,16.7,32.0,111.8,87.9,94.4,81.5,435,190,395.0,165,34.7,14.0,40,8.4,5.7
63,"Encarnación, Edwin",2019,0.244,0.531,22.5,34.3,113.0,90.2,94.6,87.5,442,206,401.0,134,42.9,14.3,41,12.9,8.4
64,"Goldschmidt, Paul",2019,0.26,0.476,15.4,36.4,111.5,90.1,94.5,86.1,464,198,410.0,182,42.4,13.6,49,11.3,7.2
65,"Harper, Bryce",2018,0.249,0.496,14.4,35.1,115.1,91.0,96.3,85.6,473,187,409.0,177,45.4,13.4,45,11.5,6.5
66,"Hoskins, Rhys",2018,0.246,0.496,22.6,35.8,112.0,89.0,94.3,82.7,444,212,393.0,161,39.5,14.1,47,11.4,7.1
67,"Rendon, Anthony",2019,0.319,0.598,19.5,38.7,107.7,90.4,93.5,88.3,431,208,398.0,218,46.6,19.3,56,12.0,8.7
68,"Sánchez, Gary",2019,0.232,0.525,19.2,33.5,118.3,91.1,96.0,86.2,481,208,417.0,112,42.3,13.6,52,19.1,11.7
69,"Sanó, Miguel",2019,0.247,0.576,15.9,36.0,114.2,94.4,99.6,89.0,496,206,416.0,127,57.2,15.2,47,21.2,10.7
70,"Santana, Carlos",2019,0.281,0.515,11.7,29.1,112.8,91.8,93.5,91.9,426,171,396.0,209,44.9,19.0,45,9.6,6.6
71,"Soto, Juan",2019,0.282,0.548,12.5,36.3,112.8,92.0,97.0,86.4,443,191,403.0,199,47.8,17.5,51,12.3,7.7
72,"Springer, George",2017,0.283,0.522,9.3,31.1,114.6,89.2,96.1,84.5,473,170,403.0,189,43.2,16.6,41,9.3,6.5
73,"Suárez, Eugenio",2018,0.283,0.526,14.8,38.6,112.8,91.2,93.0,89.8,451,192,400.0,178,45.6,16.4,38,9.7,6.3
74,"Abreu, José",2017,0.304,0.552,11.1,34.2,114.9,90.6,95.5,87.1,454,180,408.0,228,45.2,18.5,48,9.5,7.1
75,"Abreu, José",2019,0.284,0.503,10.9,35.2,117.9,92.1,96.1,89.6,447,168,404.0,237,48.2,17.5,63,12.8,9.1
76,"Bogaerts, Xander",2019,0.309,0.555,13.4,34.7,112.4,90.7,94.2,88.6,451,183,398.0,217,44.1,18.5,42,8.4,6.0
77,"Calhoun, Kole",2019,0.232,0.467,14.9,34.9,110.1,89.5,95.1,84.0,440,189,403.0,164,42.6,14.2,44,11.2,7.0
78,"Conforto, Michael",2019,0.257,0.494,15.9,35.8,112.2,89.2,93.7,83.4,452,194,402.0,158,39.2,13.3,48,11.9,7.4
79,"Donaldson, Josh",2017,0.27,0.559,13.8,31.7,113.5,90.9,97.0,85.5,454,186,407.0,137,44.9,15.5,43,14.1,8.7
80,"Goldschmidt, Paul",2018,0.29,0.533,15.7,37.1,112.9,90.8,95.9,87.0,450,191,400.0,185,44.0,15.0,57,13.6,8.3
81,"Lindor, Francisco",2017,0.273,0.505,14.6,32.2,111.7,89.1,92.8,85.4,456,192,401.0,203,35.9,15.7,40,7.1,5.5
82,"Machado, Manny",2017,0.259,0.471,13.6,30.2,116.3,91.3,96.7,88.6,470,179,406.0,249,47.5,20.0,55,10.5,8.0
83,"Meadows, Austin",2019,0.291,0.558,16.7,38.1,115.4,90.4,94.7,85.8,447,205,399.0,171,42.9,16.2,50,12.5,8.5
84,"Renfroe, Hunter",2019,0.216,0.489,19.1,32.2,114.1,89.9,94.6,85.9,470,199,413.0,115,39.4,12.4,35,12.0,7.1
85,"Sánchez, Gary",2017,0.278,0.531,13.1,33.5,115.7,90.8,95.9,87.6,493,175,416.0,152,42.9,15.6,42,11.8,8.0
86,"Semien, Marcus",2019,0.285,0.522,14.9,34.0,108.2,88.9,93.3,85.5,438,182,401.0,209,38.1,16.7,47,8.5,6.3
87,"Trout, Mike",2017,0.306,0.629,18.0,36.4,114.7,88.8,94.3,84.1,448,199,411.0,126,39.9,15.7,42,13.3,8.3
88,"Betts, Mookie",2018,0.346,0.64,18.5,39.4,110.6,92.2,95.8,88.6,452,207,400.0,218,50.6,23.7,61,14.1,9.9
89,"Blackmon, Charlie",2019,0.314,0.576,14.6,36.8,110.6,88.7,92.8,85.0,464,189,412.0,194,40.3,16.5,40,8.3,6.3
90,"Devers, Rafael",2019,0.311,0.555,10.4,33.0,115.0,92.5,96.5,89.9,458,176,403.0,252,48.4,17.4,48,9.0,6.8
91,"Encarnación, Edwin",2018,0.246,0.474,18.0,34.1,112.2,89.9,94.3,85.9,434,192,401.0,152,41.4,14.9,42,11.2,7.3
92,"Lindor, Francisco",2019,0.284,0.518,12.3,29.6,113.5,91.0,93.7,90.4,437,174,397.0,207,41.0,16.6,38,7.5,5.8
93,"Machado, Manny",2019,0.256,0.462,13.0,31.2,112.6,91.2,94.5,91.6,455,178,400.0,202,43.7,17.9,37,8.0,5.6
94,"Marte, Ketel",2019,0.329,0.592,11.5,34.4,116.3,90.0,93.5,87.8,482,174,407.0,194,40.0,16.9,45,9.3,7.2
95,"Rizzo, Anthony",2017,0.273,0.507,15.5,34.2,113.6,88.4,94.4,82.9,462,186,408.0,189,39.1,14.9,45,9.3,6.5
96,"Rosario, Eddie",2019,0.276,0.5,16.8,33.2,108.6,89.2,93.9,85.0,433,188,392.0,172,36.0,14.0,41,8.5,6.9
97,"Schoop, Jonathan",2017,0.293,0.503,13.0,35.3,116.0,87.8,92.7,85.3,462,169,402.0,181,37.2,13.6,34,7.0,5.0
98,"Shaw, Travis",2018,0.241,0.48,16.9,31.2,114.6,88.9,93.1,86.6,452,191,402.0,152,38.3,14.2,41,10.3,7.0
99,"Altuve, Jose",2019,0.298,0.55,9.7,28.0,109.3,87.4,93.2,84.0,448,151,395.0,142,34.5,14.9,34,8.1,6.2
100,"Bregman, Alex",2018,0.286,0.532,16.8,37.9,107.6,89.4,93.5,86.3,420,190,384.0,204,39.9,19.5,39,7.6,5.5
101,"Bryant, Kris",2019,0.282,0.521,19.2,35.8,111.4,87.6,92.3,83.3,445,190,403.0,135,34.1,11.2,37,9.3,5.8
102,"Duvall, Adam",2017,0.249,0.48,21.1,34.6,110.8,87.3,92.4,82.3,437,201,396.0,139,32.6,11.6,38,8.9,5.9
103,"Garver, Mitch",2019,0.273,0.63,15.3,33.6,109.7,91.1,97.2,84.8,443,199,400.0,113,50.0,21.5,35,15.5,9.7
104,"Gurriel, Yuli",2019,0.298,0.541,14.3,33.5,110.6,89.3,91.4,90.4,450,173,387.0,188,38.1,18.1,18,3.6,2.9
105,"Grichuk, Randal",2019,0.232,0.457,16.0,31.3,112.6,89.3,93.9,87.1,469,178,401.0,169,39.8,13.9,36,8.5,5.7
106,"Jiménez, Eloy",2019,0.267,0.513,9.3,32.4,114.1,91.2,96.6,87.4,471,167,409.0,161,47.9,17.3,43,12.8,8.5
107,"Núñez, Renato",2019,0.244,0.46,19.9,32.1,114.8,89.9,94.1,88.1,450,194,412.0,164,40.9,13.4,43,10.7,7.2
108,"Shaw, Travis",2017,0.273,0.513,14.9,34.7,113.7,88.6,93.3,85.3,478,184,402.0,159,39.4,14.6,30,7.4,5.0
109,"Thames, Eric",2017,0.247,0.518,12.8,36.3,112.0,88.2,94.1,82.1,436,194,392.0,120,39.3,11.9,34,11.1,6.2
110,"Cron, C.J.",2018,0.253,0.493,15.2,34.3,114.4,88.0,93.9,85.4,464,181,408.0,132,36.6,12.0,44,12.2,7.9
111,"DeJong, Paul",2019,0.233,0.444,18.3,33.0,111.7,87.0,92.9,82.0,462,192,410.0,146,33.9,11.6,38,8.6,5.7
112,"Duda, Lucas",2017,0.217,0.496,19.2,40.3,114.5,90.3,95.2,85.1,451,208,404.0,127,43.8,15.6,35,12.1,7.1
113,"Lamb, Jake",2017,0.248,0.487,12.2,34.4,109.4,88.3,93.0,84.1,481,191,407.0,141,36.3,13.8,36,9.3,5.7
114,"Myers, Wil",2017,0.243,0.464,15.4,35.3,112.5,89.4,95.3,85.4,461,191,407.0,175,44.6,14.8,36,9.1,5.5
115,"Odor, Rougned",2017,0.204,0.397,15.9,27.2,112.4,89.1,94.2,85.6,466,180,395.0,164,36.6,12.9,27,6.0,4.1
116,"Odor, Rougned",2019,0.205,0.439,17.9,30.6,113.1,91.1,96.2,87.1,471,203,404.0,157,45.6,14.0,47,13.6,8.1
117,"Peralta, David",2018,0.293,0.516,6.7,32.9,114.8,91.5,95.4,90.0,449,164,400.0,203,46.3,18.6,34,7.8,5.5
118,"Reynolds, Mark",2017,0.267,0.487,11.8,36.5,112.1,87.2,93.2,82.0,482,182,419.0,125,35.9,11.4,29,8.3,4.9
119,"Santana, Domingo",2017,0.278,0.505,10.5,40.6,113.7,89.2,93.2,85.8,476,175,393.0,141,40.4,12.2,33,9.4,5.4
120,"Schebler, Scott",2017,0.233,0.484,11.6,30.0,111.2,89.1,95.6,85.3,457,172,405.0,144,40.8,14.5,36,10.2,6.8
121,"Schwarber, Kyle",2017,0.211,0.467,18.6,29.8,116.1,89.6,95.5,84.2,470,196,409.0,113,41.5,12.0,41,15.1,8.4
122,"Upton, Justin",2018,0.257,0.463,11.9,34.7,114.9,90.7,96.8,85.9,443,185,403.0,172,47.4,16.0,51,14.0,8.3
123,"Vogelbach, Daniel",2019,0.208,0.439,17.1,39.0,113.1,88.8,93.6,83.8,448,203,398.0,119,38.0,13.8,33,10.5,5.9
124,"Báez, Javier",2019,0.281,0.531,7.7,36.3,114.1,91.1,96.1,86.7,460,172,404.0,163,43.6,14.7,48,12.7,8.6
125,"Betts, Mookie",2019,0.295,0.524,19.3,39.2,109.3,91.0,94.2,88.1,438,206,391.0,237,47.5,21.3,52,10.3,7.4
126,"Blackmon, Charlie",2018,0.291,0.502,12.0,34.9,110.4,87.5,91.2,84.3,447,173,407.0,174,35.2,13.4,32,6.5,4.6
127,"Bryant, Kris",2017,0.295,0.537,17.0,35.1,113.0,87.0,92.3,80.5,451,196,401.0,156,36.6,12.9,41,9.6,6.2
128,"Harper, Bryce",2017,0.319,0.595,14.1,35.5,116.3,91.1,95.3,88.5,451,184,407.0,136,42.6,14.1,37,11.4,7.5
129,"Hoskins, Rhys",2019,0.226,0.454,24.0,31.0,111.0,89.7,94.0,86.3,429,209,388.0,156,38.7,12.3,39,9.7,5.5
130,"Napoli, Mike",2017,0.193,0.428,22.2,29.1,112.5,88.3,94.1,83.0,448,204,406.0,110,41.5,11.9,42,15.8,8.7
131,"Olson, Matt",2018,0.247,0.453,18.1,35.1,113.3,93.3,97.4,90.7,475,189,408.0,218,52.2,17.3,51,12.2,7.7
132,"Ozuna, Marcell",2019,0.241,0.472,13.5,32.8,115.3,91.8,96.3,88.6,455,179,403.0,179,49.2,17.6,45,12.1,8.2
133,"Ramírez, José",2017,0.318,0.583,15.0,35.5,108.3,88.2,91.9,85.2,440,185,391.0,180,34.7,16.1,26,5.0,4.0
134,"Walker, Christian",2019,0.259,0.476,14.8,34.1,112.4,91.1,95.3,87.9,447,182,411.0,183,48.8,15.6,49,13.1,8.1
135,"Alonso, Yonder",2017,0.266,0.501,19.4,35.7,111.5,89.2,93.4,86.1,436,197,402.0,137,41.1,14.0,33,9.9,6.3
136,"Conforto, Michael",2018,0.243,0.448,12.5,36.3,112.4,88.0,93.5,83.6,472,173,395.0,143,37.4,12.5,37,9.5,5.8
137,"Freeman, Freddie",2017,0.307,0.586,16.0,40.1,109.0,89.7,93.8,84.0,443,209,401.0,146,42.7,14.3,46,13.3,8.9
138,"Gardner, Brett",2019,0.251,0.503,13.9,28.8,109.7,87.7,91.7,85.7,430,165,382.0,124,32.6,13.5,15,3.9,2.7
139,"Grandal, Yasmani",2019,0.246,0.468,14.2,37.5,111.3,90.7,95.0,87.5,442,187,400.0,156,41.8,14.8,43,11.3,6.8
140,"McCutchen, Andrew",2017,0.279,0.486,14.2,33.7,109.5,88.4,93.4,83.5,432,183,393.0,176,38.9,15.0,35,7.7,5.4
