,Player,Season,BA,SLG,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
575,"Jones, JaCoby",2018,0.207,0.364,12.7,35.2,112.3,88.8,92.6,87.0,422,175,385.0,103,35.5,11.3,17,5.9,3.6
576,"Moran, Colin",2018,0.277,0.407,10.7,38.2,107.8,88.2,92.4,85.0,416,165,399.0,122,35.9,14.2,18,5.3,3.9
577,"Myers, Wil",2018,0.253,0.446,9.4,38.8,112.9,90.5,95.5,86.1,450,171,402.0,100,45.7,15.1,16,7.3,4.7
578,"Polanco, Gregory",2017,0.251,0.391,13.1,30.3,112.1,86.5,91.6,84.6,434,174,407.0,98,30.6,12.7,12,3.8,2.9
579,"Ramírez, Harold",2019,0.276,0.416,3.8,29.0,113.0,88.9,92.0,87.8,433,136,389.0,115,34.7,12.7,21,6.3,4.7
580,"Rojas, Miguel",2018,0.252,0.346,9.3,35.2,106.6,84.7,87.1,84.0,431,145,390.0,101,23.8,10.5,4,0.9,0.8
581,"Segura, Jean",2017,0.3,0.427,6.7,32.8,109.1,87.6,90.6,86.0,428,149,390.0,152,34.5,14.1,14,3.2,2.5
582,"Simmons, Andrelton",2018,0.292,0.417,7.8,27.9,109.7,88.2,92.0,87.4,402,149,382.0,186,36.3,20.6,21,4.1,3.5
583,"Span, Denard",2018,0.261,0.419,13.3,36.7,108.1,87.2,89.3,86.7,415,169,391.0,108,29.6,12.9,10,2.7,2.0
584,"Travis, Devon",2018,0.232,0.381,7.8,31.4,111.5,88.4,92.1,87.2,428,147,393.0,110,37.8,16.3,15,5.1,4.0
585,"Turner, Trea",2017,0.284,0.451,7.1,29.1,111.9,89.1,94.0,86.3,437,160,402.0,130,39.2,17.4,18,5.4,4.0
586,"Villar, Jonathan",2017,0.241,0.372,3.1,26.6,114.7,88.3,93.6,85.9,450,140,395.0,93,34.2,10.8,15,5.5,3.4
587,"Walker, Neil",2018,0.219,0.354,13.7,42.8,107.0,88.1,92.4,83.2,436,192,402.0,88,33.3,12.2,16,6.1,4.0
588,"Wong, Kolten",2019,0.285,0.423,12.6,28.1,107.7,86.1,89.3,85.1,432,164,396.0,102,25.4,10.6,9,2.2,1.6
589,"Alfaro, Jorge",2018,0.262,0.407,8.4,35.3,116.6,91.7,94.5,90.0,446,166,420.0,91,44.2,11.2,22,10.6,5.8
590,"Barnhart, Tucker",2018,0.248,0.372,12.4,35.1,106.6,87.1,90.9,84.9,421,162,382.0,112,30.3,12.5,13,3.5,2.5
591,"Bogaerts, Xander",2017,0.273,0.403,8.1,26.7,113.9,87.3,90.8,86.5,437,145,401.0,138,30.2,12.9,6,1.3,0.9
592,"Cain, Lorenzo",2018,0.308,0.417,4.9,30.9,112.4,89.1,91.0,88.6,431,139,402.0,181,40.5,17.4,15,3.4,2.4
593,"Canó, Robinson",2018,0.303,0.471,8.2,37.4,113.4,93.0,94.9,92.5,419,162,399.0,136,51.5,22.7,22,8.3,6.3
594,"Castro, Jason",2017,0.242,0.388,13.2,39.6,109.6,87.2,91.2,83.6,433,177,405.0,80,32.0,10.9,17,6.8,4.2
595,"Contreras, Willson",2018,0.249,0.39,8.0,28.9,114.1,88.2,92.9,85.5,435,155,392.0,119,33.3,11.3,26,7.3,4.8
596,"Descalso, Daniel",2017,0.233,0.395,13.0,37.7,107.4,87.2,92.4,81.6,416,195,400.0,75,29.2,11.7,13,5.1,3.3
597,"Frazier, Adam",2018,0.277,0.456,10.4,34.5,105.5,88.0,90.2,86.8,413,163,383.0,84,31.5,13.7,11,4.1,3.1
598,"Frazier, Adam",2019,0.278,0.417,13.1,36.2,106.1,87.1,89.4,86.0,423,174,391.0,136,28.3,12.3,9,1.9,1.5
599,"Freese, David",2017,0.263,0.371,3.1,31.2,110.2,88.9,94.0,86.1,449,141,397.0,134,42.9,14.9,20,6.4,4.0
600,"Inciarte, Ender",2018,0.265,0.38,10.9,32.6,105.0,84.9,87.9,83.0,433,156,380.0,97,18.7,8.0,8,1.5,1.2
601,"Martin, Russell",2018,0.194,0.325,10.1,22.7,108.7,90.6,95.4,90.0,424,147,389.0,89,43.0,17.6,13,6.3,3.7
602,"Martinez, Victor",2017,0.255,0.372,13.3,37.8,107.1,88.7,92.7,85.1,420,182,381.0,114,34.5,14.7,18,5.4,4.1
603,"Martínez, José",2019,0.269,0.41,6.9,36.6,110.8,88.9,93.6,85.3,440,159,412.0,99,39.3,14.6,18,7.1,4.8
604,"Maybin, Cameron",2017,0.228,0.365,4.6,29.0,109.2,87.2,91.3,85.1,430,144,393.0,99,32.7,14.4,10,3.3,2.2
605,"Molina, Yadier",2019,0.27,0.399,13.9,40.7,106.2,87.4,91.7,83.4,429,179,400.0,125,35.0,13.8,14,3.8,3.1
606,"Núñez, Eduardo",2018,0.265,0.388,9.4,27.2,110.2,88.3,90.4,89.6,411,148,383.0,148,35.7,16.2,14,3.4,2.8
607,"Panik, Joe",2017,0.288,0.421,11.4,32.9,108.0,85.0,89.9,81.2,426,167,390.0,111,23.9,11.8,12,2.6,2.1
608,"Parra, Gerardo",2017,0.309,0.452,8.3,37.7,106.1,86.0,90.8,81.2,436,171,398.0,99,29.7,12.4,7,2.1,1.6
609,"Pirela, José",2017,0.288,0.49,6.0,29.5,112.9,89.3,94.0,86.0,450,161,410.0,95,39.1,15.5,11,4.5,3.2
610,"Segura, Jean",2018,0.304,0.415,7.8,29.8,111.6,87.7,90.3,86.9,420,145,399.0,170,32.3,15.7,19,3.6,3.0
611,"Semien, Marcus",2017,0.249,0.398,17.2,37.9,106.5,87.1,91.1,82.9,406,189,382.0,78,30.0,10.9,12,4.6,3.1
612,"Stewart, Christin",2019,0.233,0.388,19.1,37.1,112.0,86.9,91.6,81.1,419,196,402.0,92,34.1,11.5,20,7.4,4.8
613,"Wieters, Matt",2017,0.225,0.344,12.4,34.3,106.0,85.7,91.1,81.2,434,171,410.0,96,29.3,11.0,13,3.9,2.8
614,"Wilkerson, Stevie",2019,0.225,0.383,11.1,33.5,104.9,86.3,91.0,83.5,423,161,392.0,68,30.4,10.0,8,3.6,2.2
615,"Brantley, Michael",2017,0.299,0.444,9.9,33.9,110.2,88.4,91.8,87.0,423,159,401.0,105,36.1,17.1,12,4.1,3.2
616,"Bruce, Jay",2018,0.223,0.37,21.4,37.6,109.0,88.4,92.6,84.0,412,205,390.0,85,34.8,12.1,22,9.0,6.1
617,"Goins, Ryan",2017,0.237,0.356,9.9,27.1,107.0,86.2,90.8,83.9,439,153,400.0,98,29.6,12.8,10,3.0,2.2
618,"Gómez, Carlos",2018,0.208,0.336,19.8,32.4,113.1,87.1,90.2,86.7,424,179,399.0,76,29.3,9.2,13,5.0,3.2
619,"Gordon, Alex",2017,0.208,0.315,13.8,34.6,109.6,86.3,92.4,80.6,433,172,390.0,110,31.3,10.5,16,4.5,3.0
620,"Grossman, Robbie",2017,0.246,0.38,12.2,37.1,109.8,86.4,89.9,83.8,422,178,400.0,82,26.8,11.7,9,2.9,2.0
621,"Hernández, César",2017,0.294,0.421,4.5,33.3,107.8,85.7,89.9,83.1,407,150,390.0,121,29.7,12.7,12,2.9,2.1
622,"Maldonado, Martín",2018,0.225,0.351,14.7,30.8,108.9,85.7,90.0,83.0,425,168,397.0,74,26.5,9.5,14,5.0,3.5
623,"Markakis, Nick",2019,0.285,0.42,7.3,34.1,114.7,91.2,92.5,91.0,418,157,392.0,160,44.3,20.4,11,3.0,2.3
624,"Martinez, Victor",2018,0.251,0.353,14.1,35.1,107.6,87.8,90.8,85.7,416,181,384.0,130,30.6,13.9,20,4.7,3.9
625,"Miller, Brad",2017,0.201,0.337,11.1,26.7,112.7,89.3,94.0,86.3,445,178,412.0,89,38.4,11.8,14,6.0,3.4
626,"Piña, Manny",2017,0.279,0.424,17.6,40.0,108.2,87.1,90.6,84.1,434,194,397.0,76,29.8,10.6,10,3.9,2.8
627,"Piscotty, Stephen",2017,0.235,0.367,10.3,35.8,109.3,86.1,91.6,81.7,443,171,402.0,88,34.9,11.6,17,6.6,4.2
628,"Rosario, Amed",2018,0.256,0.381,7.9,32.4,109.5,87.8,90.4,87.0,437,151,405.0,141,32.3,12.2,17,3.9,2.9
629,"Tapia, Raimel",2019,0.275,0.415,7.5,36.5,107.1,87.6,90.0,86.0,440,158,402.0,103,31.6,10.8,12,3.7,2.7
630,"Wong, Kolten",2018,0.249,0.388,9.1,25.5,107.1,87.6,91.1,85.9,409,149,386.0,93,30.9,14.5,10,3.3,2.5
631,"Zobrist, Ben",2018,0.305,0.44,9.0,35.0,107.5,89.9,91.7,88.8,423,163,386.0,156,38.7,18.8,12,3.0,2.3
632,"Candelario, Jeimer",2019,0.203,0.337,15.8,32.9,114.2,88.2,92.2,86.1,467,186,402.0,80,33.8,11.3,14,5.9,3.6
633,"Harrison, Josh",2018,0.25,0.363,15.7,36.0,105.1,85.9,90.3,81.7,421,180,386.0,74,26.1,9.7,11,3.9,2.9
634,"Heyward, Jason",2018,0.27,0.395,9.6,29.7,110.7,88.3,91.2,88.8,423,163,396.0,149,38.8,17.9,11,2.9,2.3
635,"Kingery, Scott",2018,0.226,0.338,17.4,38.4,109.1,86.2,90.2,80.8,405,188,378.0,103,31.5,10.2,17,5.1,3.5
636,"LeMahieu, DJ",2017,0.31,0.409,3.3,31.7,109.2,89.3,92.5,87.6,433,138,390.0,218,41.4,19.6,10,1.9,1.5
637,"Margot, Manuel",2018,0.245,0.384,11.5,33.8,112.9,89.4,92.8,88.9,424,168,396.0,146,37.0,16.4,13,3.3,2.5
638,"Markakis, Nick",2017,0.275,0.384,8.8,34.0,114.4,88.3,91.5,86.5,429,160,391.0,167,34.7,15.1,16,3.3,2.4
639,"McCann, James",2018,0.22,0.314,16.2,37.7,111.4,87.8,91.5,87.0,437,177,394.0,117,37.4,13.4,16,5.1,3.5
640,"Sánchez, Yolmer",2018,0.242,0.372,9.3,34.9,110.3,86.7,91.2,84.2,449,157,405.0,132,28.3,10.5,14,3.0,2.1
641,"Utley, Chase",2017,0.236,0.405,11.0,36.9,107.7,86.9,91.7,81.5,424,187,398.0,72,28.5,13.9,11,4.3,3.1
642,"Walker, Neil",2019,0.261,0.395,11.7,40.6,106.2,86.2,89.1,83.5,428,177,400.0,81,31.0,11.6,17,6.5,4.5
643,"Aybar, Erick",2017,0.234,0.348,7.5,30.2,105.2,82.7,87.4,79.4,413,144,388.0,44,15.8,6.8,5,1.8,1.4
644,"Barnhart, Tucker",2017,0.27,0.403,9.7,36.1,104.5,86.2,91.4,81.7,444,166,401.0,79,25.6,10.7,7,2.3,1.7
645,"Cabrera, Melky",2019,0.28,0.399,8.9,32.5,110.2,88.2,89.9,88.4,433,152,394.0,111,33.0,15.6,7,2.1,1.8
646,"Crawford, J.P.",2019,0.226,0.371,12.4,34.7,108.6,85.0,87.3,84.0,427,156,384.0,66,24.8,8.9,9,3.4,2.3
647,"Desmond, Ian",2017,0.274,0.375,0.0,22.5,111.6,87.6,93.1,85.2,421,124,381.0,80,31.3,12.2,7,2.7,1.9
648,"Difo, Wilmer",2018,0.23,0.35,12.8,33.9,104.2,83.1,87.0,80.4,403,156,380.0,63,19.0,7.2,8,2.4,1.8
649,"Dyson, Jarrod",2019,0.23,0.32,9.6,28.4,105.5,83.9,88.4,81.2,403,139,389.0,69,21.8,9.4,5,1.6,1.1
650,"Ellsbury, Jacoby",2017,0.264,0.402,10.0,33.2,108.4,85.6,90.1,83.1,420,164,375.0,75,25.4,11.1,8,2.7,2.0
651,"Escobar, Yunel",2017,0.274,0.397,2.3,31.8,111.7,89.0,93.6,86.3,438,147,412.0,117,39.1,18.4,15,5.0,3.9
652,"Forsythe, Logan",2019,0.227,0.353,12.3,39.7,107.1,89.2,92.7,85.2,432,184,399.0,87,40.1,16.0,12,5.5,3.3
653,"Gamel, Ben",2019,0.248,0.373,9.9,35.4,111.1,88.2,91.2,85.4,421,171,398.0,78,38.0,12.9,8,3.8,2.2
654,"Holt, Brock",2018,0.277,0.411,6.8,33.2,105.9,87.9,90.9,86.3,426,152,402.0,77,30.8,13.9,9,3.6,2.5
655,"Kiermaier, Kevin",2018,0.217,0.37,7.5,26.1,110.2,86.0,90.7,83.8,416,143,394.0,71,29.0,10.4,11,4.5,3.0
656,"Mauer, Joe",2017,0.305,0.417,6.2,35.7,108.2,90.6,94.8,87.4,413,155,395.0,206,46.3,21.6,20,4.5,3.4
657,"Pedroia, Dustin",2017,0.293,0.392,10.5,33.2,101.9,85.2,88.6,83.6,395,155,381.0,76,21.1,9.9,4,1.1,0.9
658,"Posey, Buster",2019,0.257,0.368,9.1,32.4,107.6,88.6,92.6,85.6,435,159,399.0,122,36.3,14.7,16,4.8,3.6
659,"Rengifo, Luis",2019,0.238,0.364,9.6,31.0,108.6,87.1,90.6,85.4,427,151,412.0,79,29.9,10.6,16,6.0,3.9
660,"Simmons, Andrelton",2019,0.264,0.364,9.5,18.8,108.8,87.8,89.6,88.8,410,135,386.0,119,33.6,17.8,6,1.7,1.4
661,"Wendle, Joey",2018,0.3,0.435,10.7,31.8,110.1,88.8,91.7,87.5,420,165,400.0,144,35.7,15.6,11,2.7,2.0
662,"Adrianza, Ehire",2018,0.251,0.379,16.4,34.4,107.1,86.6,90.3,83.2,405,182,388.0,79,30.6,11.5,13,5.0,3.6
663,"Andrus, Elvis",2018,0.256,0.367,8.7,30.8,109.7,87.2,90.0,86.3,428,152,404.0,101,30.5,12.7,14,4.2,3.3
664,"Barney, Darwin",2017,0.232,0.327,11.7,32.0,101.7,82.7,87.1,80.1,401,152,373.0,34,12.2,5.1,1,0.4,0.3
665,"DeShields, Delino",2017,0.269,0.367,11.5,28.2,104.4,83.6,89.1,79.6,407,158,398.0,62,21.9,8.5,8,2.8,1.8
666,"Engel, Adam",2018,0.235,0.336,14.7,27.3,113.4,87.0,91.7,85.3,423,170,399.0,100,32.5,10.9,8,2.6,1.7
667,"Escobar, Alcides",2017,0.25,0.357,14.0,34.1,105.3,84.0,88.5,80.5,411,172,385.0,106,21.0,8.8,11,2.2,1.7
668,"Fletcher, David",2019,0.29,0.384,9.9,37.5,104.5,83.8,86.5,82.8,413,162,375.0,90,17.1,9.4,1,0.2,0.2
669,"Forsythe, Logan",2017,0.224,0.327,12.1,40.1,103.6,88.9,92.3,85.5,442,187,409.0,88,34.4,14.1,10,3.9,2.3
670,"Frazier, Adam",2017,0.276,0.399,9.2,37.1,111.9,85.8,87.9,84.3,432,158,401.0,84,24.2,10.4,7,2.0,1.5
671,"Grossman, Robbie",2019,0.24,0.348,12.1,36.0,110.6,87.7,90.0,86.3,423,174,389.0,103,30.9,14.1,8,2.4,1.7
672,"Heredia, Guillermo",2017,0.249,0.337,10.2,29.0,107.8,84.6,88.2,83.2,409,151,387.0,74,22.8,10.4,5,1.5,1.2
673,"Lucroy, Jonathan",2017,0.265,0.371,7.8,31.9,106.7,85.0,87.5,84.1,435,151,416.0,91,24.3,11.7,9,2.4,1.9
674,"Mauer, Joe",2018,0.282,0.379,4.4,36.9,107.6,91.1,95.0,88.1,427,154,406.0,174,44.3,21.8,20,5.0,3.7
675,"Mercer, Jordy",2018,0.251,0.381,13.1,40.8,110.1,87.6,90.6,85.4,443,174,402.0,99,31.8,13.3,15,4.8,3.4
676,"Parra, Gerardo",2018,0.284,0.372,9.2,34.4,105.5,86.8,90.2,84.3,433,156,402.0,88,26.6,10.8,9,2.7,2.0
677,"Peraza, José",2019,0.239,0.346,17.3,32.5,109.4,85.0,87.5,85.2,432,177,384.0,78,25.6,10.6,1,0.3,0.2
678,"Smith, Mallex",2019,0.227,0.335,7.3,29.0,105.7,85.2,88.6,83.4,398,144,379.0,74,20.1,6.8,8,2.2,1.4
679,"Swanson, Dansby",2017,0.232,0.324,8.3,31.2,107.6,86.9,91.6,83.8,419,155,395.0,120,32.5,12.3,11,3.0,2.0
680,"Taylor, Michael A.",2018,0.227,0.357,8.1,27.2,110.8,88.5,93.1,85.5,425,153,392.0,82,34.3,10.5,15,6.3,3.9
681,"Castro, Harold",2019,0.291,0.384,8.5,36.1,105.0,87.2,91.6,83.4,408,148,389.0,77,28.4,10.9,10,3.6,2.7
682,"Davis, Rajai",2017,0.235,0.348,11.3,34.1,107.0,86.0,90.9,82.9,410,167,387.0,63,24.8,9.3,6,2.4,1.6
683,"Difo, Wilmer",2017,0.271,0.37,6.7,32.3,110.3,84.5,89.7,80.9,445,142,422.0,68,26.1,9.5,6,2.3,1.6
684,"Dyson, Jarrod",2017,0.251,0.35,9.5,30.3,104.5,82.4,87.4,80.7,407,143,387.0,55,18.5,8.8,5,1.7,1.3
685,"Eaton, Adam",2018,0.301,0.411,9.0,33.9,109.4,87.7,90.3,86.5,408,152,396.0,78,30.4,12.1,8,3.1,2.2
686,"Grossman, Robbie",2018,0.273,0.384,15.1,34.1,108.6,87.1,89.7,86.2,422,173,394.0,89,28.4,11.9,7,2.2,1.5
687,"Panik, Joe",2019,0.244,0.336,12.8,33.8,106.2,86.8,89.6,85.3,414,171,390.0,102,25.8,12.9,8,2.0,1.6
688,"Peraza, José",2017,0.259,0.324,11.2,32.5,106.9,82.8,84.3,83.2,445,154,406.0,84,20.0,8.8,7,1.7,1.4
689,"Pirela, José",2018,0.249,0.345,4.7,25.1,112.1,89.0,91.2,89.3,424,132,408.0,129,37.4,15.3,12,3.4,2.5
690,"Posey, Buster",2018,0.284,0.382,10.3,35.2,108.1,89.1,91.8,87.0,421,165,398.0,121,34.9,16.3,18,5.2,4.0
691,"Rojas, Miguel",2019,0.284,0.379,9.1,31.9,109.2,87.4,89.3,86.3,415,155,399.0,123,28.8,14.0,11,2.6,2.1
692,"Russell, Addison",2018,0.25,0.34,11.8,36.4,108.2,86.7,90.0,84.1,409,174,379.0,86,26.5,9.8,7,2.2,1.5
693,"Vázquez, Christian",2017,0.29,0.404,8.0,34.5,105.7,85.2,88.6,82.5,409,157,398.0,58,22.2,9.6,7,2.7,2.0
694,"Asuaje, Carlos",2017,0.27,0.362,14.3,36.7,103.1,84.5,89.4,80.1,420,169,393.0,44,18.8,7.2,4,1.7,1.2
695,"DeShields, Delino",2019,0.249,0.347,13.5,32.6,104.0,86.9,90.9,84.2,398,164,384.0,65,24.3,9.0,6,2.2,1.5
696,"Duffy, Matt",2018,0.294,0.366,4.8,33.7,104.9,86.8,90.0,85.2,410,134,403.0,116,28.1,11.7,5,1.2,0.9
697,"Escobar, Alcides",2018,0.231,0.313,10.6,30.0,105.5,84.6,88.2,82.1,398,155,386.0,91,21.5,9.0,9,2.1,1.7
698,"Garcia, Greg",2019,0.248,0.354,4.3,28.6,108.3,85.8,88.7,84.0,423,129,389.0,62,27.0,11.4,6,2.6,1.6
699,"Hamilton, Billy",2017,0.247,0.335,10.2,32.2,103.7,80.5,84.3,78.7,405,148,376.0,53,11.7,4.5,2,0.4,0.3
700,"Hamilton, Billy",2018,0.236,0.327,15.3,36.3,101.9,80.5,83.0,79.2,392,159,375.0,32,8.5,3.1,2,0.5,0.4
701,"Jankowski, Travis",2018,0.259,0.346,3.3,26.8,104.3,85.6,85.6,86.5,415,119,385.0,52,19.3,8.1,2,0.7,0.5
702,"Kiner-Falefa, Isiah",2018,0.261,0.357,7.0,28.7,107.9,84.9,86.1,85.4,393,132,373.0,71,23.7,11.5,2,0.7,0.5
703,"Lucroy, Jonathan",2018,0.241,0.325,13.5,37.0,106.6,86.9,90.1,85.7,408,169,386.0,98,27.5,12.8,8,2.2,1.8
704,"Maybin, Cameron",2018,0.249,0.336,7.9,34.6,111.0,86.7,90.7,84.1,429,153,416.0,89,33.1,14.2,11,4.1,2.9
705,"Panik, Joe",2018,0.254,0.332,9.9,32.4,108.1,86.6,88.3,86.7,400,154,374.0,98,29.7,15.5,9,2.7,2.3
706,"Romine, Andrew",2017,0.233,0.336,7.9,33.7,105.4,83.7,88.2,80.7,397,158,389.0,68,26.7,9.6,4,1.6,1.1
707,"Strange-Gordon, Dee",2018,0.268,0.349,5.8,30.2,104.7,83.2,85.1,82.3,388,130,365.0,61,12.5,5.6,1,0.2,0.2
708,"Wong, Kolten",2017,0.285,0.412,9.7,32.9,109.7,86.4,90.0,84.5,425,155,413.0,85,28.9,12.2,9,3.0,2.2
709,"Arcia, Orlando",2018,0.236,0.307,4.0,24.3,107.4,86.3,90.6,84.9,403,121,384.0,75,28.6,10.8,6,2.3,1.6
710,"Jackson, Austin",2018,0.245,0.326,11.1,33.5,108.6,87.0,90.5,84.9,419,158,404.0,69,32.4,9.5,6,2.8,1.6
711,"Jay, Jon",2018,0.268,0.347,4.2,31.6,105.0,85.1,89.0,82.7,413,131,387.0,94,21.4,8.5,8,1.8,1.4
712,"Strange-Gordon, Dee",2019,0.275,0.359,5.8,27.9,102.5,84.2,87.0,83.0,368,132,361.0,63,19.0,7.8,0,0.0,0.0
713,"DeShields, Delino",2018,0.216,0.281,7.9,27.3,106.3,84.3,86.9,83.6,386,143,374.0,37,14.0,5.8,3,1.1,0.8
714,"Forsythe, Logan",2018,0.232,0.291,10.4,29.4,106.1,87.3,89.6,86.4,423,151,393.0,86,29.8,14.1,3,1.0,0.7
715,"Jay, Jon",2017,0.296,0.375,10.3,40.1,104.4,85.7,87.0,84.9,394,153,376.0,69,22.7,7.8,2,0.7,0.5
716,"Lopez, Nicky",2019,0.24,0.325,3.1,22.0,105.4,85.1,86.1,85.3,398,116,393.0,64,19.5,8.5,4,1.2,1.0
717,"Sánchez, Yolmer",2019,0.252,0.321,14.2,31.9,107.5,87.1,88.8,86.9,392,165,354.0,105,27.0,9.6,4,1.0,0.7
718,"Smith, Mallex",2018,0.296,0.406,3.7,32.2,104.7,85.8,89.4,83.3,412,144,394.0,90,23.0,8.8,6,1.5,1.1
719,"Strange-Gordon, Dee",2017,0.308,0.375,2.2,27.7,104.1,81.6,85.9,79.6,395,122,380.0,63,11.2,4.8,1,0.2,0.1
720,"Wolters, Tony",2019,0.262,0.329,10.1,37.5,103.4,85.3,88.2,83.1,413,166,361.0,59,19.7,8.6,0,0.0,0.0
721,"Hamilton, Billy",2019,0.218,0.275,15.2,32.1,99.9,80.7,83.6,81.1,374,155,,17,7.3,2.5,0,0.0,0.0
722,"Hernández, Gorkys",2017,0.255,0.326,9.3,31.1,108.9,85.2,89.3,84.6,389,150,,63,26.1,9.3,4,1.7,1.1
